Sample	SDW	RDW	NDW.SDW.ratio	NN	NDW	SDWi.SDWf	RDWi.RDWf	nNDW	NDW.RDW.ratio
1989-55F	10.25	4.51	2.27	218	0.47	1.15	0.6	11.63	4.59
1670-5F	7.97	2.73	2.92	124	0.32	0.91	0.41	13.31	4.02
1989-129F	7.49	2.36	3.17	207	0.37	0.47	0.38	18.28	4.88
1910-2F	8.32	3.46	2.4	208	0.42	NA	NA	13.84	5.06
1953-1F	9.27	4.74	1.95	213	0.35	NA	NA	7.96	3.77
1740-2Fa	4.54	2.74	1.66	204	0.5	0.58	0.4	22.32	11.03
SantaRosa	7.03	3.16	2.22	177	0.38	0.69	0.48	13.67	5.41
1961-1F	9.87	3.36	2.94	276	0.26	0.92	0.7	8.21	2.58
1988-12F	10.98	2.69	4.08	120	0.24	0.85	0.48	9.61	2.15
1926-4F	7.33	2.8	2.62	191	0.24	0.79	0.31	9.47	3.3
MRI-Dina	NA	NA	2.3	NA	NA	0.83	NA	11.6	NA
1989-45F	7.28	2.74	2.66	190	0.25	1.02	0.53	10.04	3.44
1987-32F	11.35	4.17	2.72	307	0.62	1.04	0.9	17.34	5.43
1987-31F	13.44	3.89	3.45	188	0.43	1.11	1.02	12.35	3.18
1905-2F	5.38	2.67	2.01	195	0.45	NA	NA	19.98	8.28
1990-13F	10.76	3.68	2.92	390	0.69	0.76	0.91	23.02	6.4
1904-5F	11.35	5	2.27	136	0.37	0.84	1.06	7.97	3.26
1988-6F	9.2	3.83	2.4	275	0.46	1.25	0.36	13.78	5.04
1987-65F	7.47	3.33	2.24	261	0.38	1.3	1.34	12.7	5.02
1440-1E	10.03	3.26	3.08	284	0.38	0.56	0.56	13.24	3.8
1991-24F	13.27	5.41	2.45	207	0.39	0.9	1.07	7.8	2.95
1987-37F	10.13	4.66	2.17	223	0.47	0.75	0.67	11.25	4.66
1019-2EB	11.83	3.98	2.97	378	0.78	0.84	0.58	24.32	6.58
1903-8F	14.2	4.66	3.05	416	0.57	1.01	0.88	13.9	4.01
1956-1F	3.47	2.2	1.58	121	0.26	NA	NA	13.4	7.5
1949-10F	4.7	1.72	2.74	127	0.24	NA	NA	16.61	5.2
